"","lga_id","X_id_facility_list","total_facility_list","matched_facility_list","rejected_facility_list","finished_facility_list","left_facility_list","full_facility_list","edu_total_facility_list","edu_matched_facility_list","edu_rejected_facility_list","edu_finished_facility_list","edu_left_facility_list","health_total_facility_list","health_matched_facility_list","health_rejected_facility_list","health_finished_facility_list","health_left_facility_list","state_facility_list","lga_facility_list","zone_facility_list","X_id_baseline","total_baseline","matched_baseline","rejected_baseline","finished_baseline","left_baseline","full_baseline","edu_total_baseline","edu_matched_baseline","edu_rejected_baseline","edu_finished_baseline","edu_left_baseline","health_total_baseline","health_matched_baseline","health_rejected_baseline","health_finished_baseline","health_left_baseline","state_baseline","lga_baseline","zone_baseline"
"363",368,"51b0b213b0593c9c276ed117",141,66,0,66,75,TRUE,101,47,0,47,54,40,19,0,19,21,"delta","isoko_north","south_south","51b0b206b0593c9c276eca05",100,66,34,100,0,TRUE,79,47,32,79,0,21,19,2,21,0,"delta","isoko_north","south_south"
"364",369,"51b0b213b0593c9c276ed0f0",181,136,0,136,45,TRUE,145,107,0,107,38,36,29,0,29,7,"delta","isoko_south","south_south","51b0b206b0593c9c276ec9ec",162,136,26,162,0,TRUE,129,107,22,129,0,33,29,4,33,0,"delta","isoko_south","south_south"
"365",370,"51b0b213b0593c9c276ed244",90,57,0,57,33,TRUE,50,34,0,34,16,40,23,0,23,17,"imo","isu","southeast","51b0b206b0593c9c276ec996",63,57,6,63,0,TRUE,38,34,4,38,0,25,23,2,25,0,"imo","isu","southeast"
"366",371,"51b0b213b0593c9c276ed298",157,101,0,101,56,TRUE,85,68,0,68,17,72,33,0,33,39,"abia","isuikwuato","southeast","51b0b206b0593c9c276ec94e",123,101,21,122,1,TRUE,83,68,14,82,1,40,33,7,40,0,"abia","isuikwuato","southeast"
"367",372,"51b0b213b0593c9c276ed2f5",176,92,0,92,84,TRUE,117,69,0,69,48,59,23,0,23,36,"bauchi","itas_gadau","northeast","51b0b206b0593c9c276ec9ef",106,92,14,106,0,TRUE,71,69,2,71,0,35,23,12,35,0,"bauchi","itas_gadau","northeast"
"368",373,"51b0b213b0593c9c276ed23f",116,99,0,99,17,TRUE,93,80,0,80,13,23,19,0,19,4,"oyo","itesiwaju","southwest","51b0b206b0593c9c276ec9da",108,99,9,108,0,TRUE,85,80,5,85,0,23,19,4,23,0,"oyo","itesiwaju","southwest"
"369",374,"51b0b213b0593c9c276ed387",22,4,0,4,18,TRUE,13,3,0,3,10,9,1,0,1,8,"akwa_ibom","itu","south_south","51b0b206b0593c9c276ec9c4",18,4,14,18,0,TRUE,13,3,10,13,0,5,1,4,5,0,"akwa_ibom","itu","south_south"
"370",375,"51b0b213b0593c9c276ed250",101,83,0,83,18,TRUE,71,58,0,58,13,30,25,0,25,5,"ebonyi","ivo","southeast","51b0b206b0593c9c276ec9e5",106,83,23,106,0,TRUE,77,58,19,77,0,29,25,4,29,0,"ebonyi","ivo","southeast"
"371",376,"51b0b213b0593c9c276ed11f",106,68,0,68,38,TRUE,79,57,0,57,22,27,11,0,11,16,"oyo","iwajowa","southwest","51b0b206b0593c9c276ec857",83,68,15,83,0,TRUE,71,57,14,71,0,12,11,1,12,0,"oyo","iwajowa","southwest"
"372",377,"51b0b213b0593c9c276ed280",230,159,0,159,71,TRUE,162,109,0,109,53,68,50,0,50,18,"osun","iwo","southwest","51b0b206b0593c9c276ec932",230,159,71,230,0,TRUE,162,109,53,162,0,68,50,18,68,0,"osun","iwo","southwest"
"373",378,"51b0b213b0593c9c276ed2b6",226,101,0,101,125,TRUE,173,79,0,79,94,53,22,0,22,31,"ebonyi","izzi","southeast","51b0b206b0593c9c276ec9ba",127,101,26,127,0,TRUE,93,79,14,93,0,34,22,12,34,0,"ebonyi","izzi","southeast"
"374",379,"51b0b213b0593c9c276ed112",171,139,0,139,32,TRUE,120,92,0,92,28,51,47,0,47,4,"kaduna","jaba","northwest","51b0b206b0593c9c276ec841",167,139,28,167,0,TRUE,118,92,26,118,0,49,47,2,49,0,"kaduna","jaba","northwest"
"375",380,"51b0b213b0593c9c276ed31a",201,157,0,157,44,TRUE,134,100,0,100,34,67,57,0,57,10,"adamawa","jada","northeast","51b0b206b0593c9c276ec893",231,157,74,231,0,TRUE,157,100,57,157,0,74,57,17,74,0,"adamawa","jada","northeast"
"376",381,"51b0b213b0593c9c276ed357",128,80,0,80,48,TRUE,94,61,0,61,33,34,19,0,19,15,"jigawa","jahun","northwest","51b0b206b0593c9c276ec938",87,80,7,87,0,TRUE,67,61,6,67,0,20,19,1,20,0,"jigawa","jahun","northwest"
"377",382,"51b0b213b0593c9c276ed14a",141,121,0,121,20,TRUE,94,79,0,79,15,47,42,0,42,5,"yobe","jakusko","northeast","51b0b206b0593c9c276ec8e7",125,121,4,125,0,TRUE,80,79,1,80,0,45,42,3,45,0,"yobe","jakusko","northeast"
"378",383,"51b0b213b0593c9c276ed3a3",234,117,0,117,117,TRUE,191,97,0,97,94,43,20,0,20,23,"taraba","jalingo","northeast","51b0b206b0593c9c276ec7a6",217,117,0,117,100,TRUE,173,97,0,97,76,44,20,0,20,24,"taraba","jalingo","northeast"
